"","longitude","latitude","elevation","min_dist","min_dist_idx"
"110",-47.4473304748535,-22.8311100006104,585,807.178023434782,519
"111",-47.4471206665039,-21.9461288452148,596,752.44592996084,560
"112",-47.4469947814941,-21.4254760742188,680,837.989804736246,584
"113",-47.4465789794922,-23.5595951080322,630,723.387789651634,485
"114",-47.446533203125,-23.1952514648438,529,691.481630338984,502
"115",-47.4463539123535,-20.07177734375,597,673.806628056471,647
"116",-47.4462776184082,-19.0826778411865,868,682.29003523327,693
"117",-47.4454002380371,-20.7482872009277,719,1105.38682869429,616
"118",-47.444450378418,-22.3098182678223,707,540.270218034761,543
"119",-47.4440536499023,-19.9149971008301,826,826.144791594519,654
"120",-47.4435424804688,-21.268424987793,587,1157.57878431434,591
"121",-47.4431419372559,-21.7888965606689,624,777.686586341058,567
"122",-47.4423942565918,-22.6736850738525,577,574.111290669357,526
"123",-47.4419822692871,-19.7583293914795,1041,1059.34884896468,662
"124",-47.4412803649902,-23.7664279937744,1034,1156.70704599239,475
"125",-47.4411926269531,-23.0377674102783,574,753.778694839784,509
"126",-47.4407844543457,-23.4019985198975,577,959.922173373055,492
"127",-47.4401779174805,-21.1113967895508,660,606.616059561747,599
"128",-47.4400024414062,-19.6016693115234,946,381.951903298116,669
"129",-47.4399642944336,-22.1525459289551,688,977.96024445775,550
"130",-47.4398574829102,-20.4345760345459,989,407.881362353723,630
"131",-47.4393272399902,-21.6317729949951,687,990.120870400102,575
"132",-47.4376106262207,-22.5163440704346,645,1176.39327607855,534
"133",-47.4374008178711,-20.2777500152588,1030,1109.95292690196,637
"134",-47.4370880126953,-20.9544277191162,932,297.046999672654,606
"135",-47.436279296875,-23.9733238220215,701,477.185206083885,466
"136",-47.4360122680664,-22.8803043365479,614,991.825373051551,517
"137",-47.4358177185059,-21.9953308105469,613,814.24199900348,558
"138",-47.4352836608887,-23.6087665557861,754,673.556375063562,483
"139",-47.4352645874023,-23.2444553375244,550,833.719805413251,500
"140",-47.4349365234375,-19.1319332122803,812,980.657769808875,691
"141",-47.4330749511719,-22.3590049743652,660,818.270643703414,541
"142",-47.432746887207,-19.9642658233643,593,734.18373850066,652
"143",-47.4318237304688,-21.8381004333496,575,829.699450440294,565
"144",-47.4312400817871,-20.6406402587891,885,1301.42824188242,621
"145",-47.4310989379883,-22.7228813171387,534,920.267641513089,524
"146",-47.4306182861328,-19.8075733184814,992,1167.21145695304,659
"147",-47.4300003051758,-23.8156223297119,1003,1120.20033660721,473
"148",-47.429874420166,-23.0869445800781,608,1032.97762708882,507
"149",-47.4294967651367,-23.4511890411377,587,1105.0393221548,490
"150",-47.428825378418,-21.1606216430664,654,1550.32410605819,828
"151",-47.4286499023438,-19.6508941650391,998,1509.12512228202,899
"152",-47.4286422729492,-22.2017459869385,662,1109.27356391381,780
"153",-47.428524017334,-20.4837989807129,998,1091.64594879862,860
"154",-47.426872253418,-19.4942951202393,1008,978.936850723212,906
"155",-47.4262847900391,-22.5655212402344,603,998.316647956156,763
"156",-47.4257202148438,-21.0036926269531,979,976.178541394312,836
"157",-47.4246864318848,-22.9294986724854,593,1040.50476917975,746
