,latitude,longitude,NO2gm,NO2mol,NO2mol_prec,plant_dist,popdens
100318,-22.6856079101562,-45.0800933837891,0.0006179075535328,1.34327729028882e-05,1.5733534382889e-05,7664.2793974402,100.83884927458625
100319,-22.6779804229736,-45.0456085205078,0.001140662257967,2.47970056079794e-05,1.66521458595525e-05,9966.8450790462,346.864972111582
100320,-22.670373916626,-45.0111389160156,7.84819842465367e-05,1.70613009231602e-06,1.54244844452478e-05,12918.8378543549,527.9690446518708
100322,-22.6552143096924,-44.9422302246094,0.0004416095544002,9.60020770435221e-06,1.49533525473089e-05,19564.9991095467,8.841607362738404
100323,-22.6476631164551,-44.9077911376953,0.0005470940741361,1.18933494377416e-05,1.54602421389427e-05,23044.5971330966,4.460878852016358
100326,-22.6251125335693,-44.8045082092285,0.0003285613674961,7.14263842382934e-06,1.64707471412839e-05,33718.3007579068,5.709442290479238
100327,-22.6176300048828,-44.7700843811035,8.74551369633991e-05,1.90119862963911e-06,1.53302626131335e-05,37316.925883922,5.515226747579646
100328,-22.610164642334,-44.7356643676758,0.0009375543450005,2.03816161956638e-05,1.61014686455019e-05,40926.5244083614,5.957259555638718
100329,-22.6027126312256,-44.7012405395508,0.0005530039761652,1.20218255688087e-05,1.41887885547476e-05,44545.1194485819,37.80994026776727
100330,-22.5952796936035,-44.6668167114258,0.0019510291822371,4.24136778747197e-05,1.8609140170156e-05,44742.4911593376,37.49929248678241
100331,-22.5878601074219,-44.6323852539062,0.0018258489217259,3.96923678636085e-05,1.89286402019206e-05,41186.7081205636,3.945099276604252
100332,-22.5804557800293,-44.5979499816895,0.0007153600854508,1.55513062054524e-05,1.53241235238966e-05,37652.5151544511,3.847969263902796
100333,-22.5730648040771,-44.5635070800781,0.0011693806809489,2.54213191510644e-05,1.64420798682841e-05,34146.1698251327,3.9284990260774686
100335,-22.55832862854,-44.4945907592773,0.0009013702365336,1.95950051420368e-05,1.56220285134623e-05,27260.3882841678,3.4807292361349242
100338,-22.5363254547119,-44.3911209106445,0.0013419036658888,2.917181882367e-05,1.83963420568034e-05,17626.2517051795,3.504344513334221
100339,-22.529016494751,-44.3565979003906,9.18278728931909e-05,1.99625810637372e-06,1.55389698193176e-05,14846.4953022643,3.4836084451670115
100341,-22.5144367218018,-44.2874908447266,0.0014270788669819,3.10234536300413e-05,1.854642687249e-05,10994.8337177352,7.524585030455359
100342,-22.5071640014648,-44.2529067993164,0.001037224978063,2.25483690883266e-05,1.68546430359129e-05,10568.5088225971,28.043353490239507
100343,-22.4999027252197,-44.2182960510254,0.0006583793856407,1.43125953400158e-05,1.60401614266448e-05,11384.6376697788,849.1962421495809
100345,-22.4854125976562,-44.148998260498,0.000281034519503,6.10944607615238e-06,1.76625198946567e-05,6883.62114462962,923.062059784199
